onset_ms_1,state_1,text_1,onset_ms_2,state_2,text_2,onset_ms_3,state_3,text_3,onset_ms_4,state_4,text_4,onset_ms_5,state_5,text_5,measureNum,measureDur_s,phaseFactor,phaseBaseDur
211000,phoneDown,"Tacet 2""",211000,phoneDown,"Tacet 2""",211000,phoneUp,PUT DOWN INST.,211000,phoneUp,PUT DOWN INST.,211000,phoneDown,"Tacet 2""",14,2,,
213000,phoneDown,"Tacet 24""",213000,phoneUp,"Phone Up (3.95"")",213000,phoneUp,"Phone Up (4"")",213000,phoneUp,"Phone Up (4.05"")",213000,phoneDown,"Tacet 24""",15,24,,
,,,216950,phoneDown,"Phone Down (3.95"")",217000,phoneDown,"Phone Down (4"")",217050,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,220900,phoneUp,"Phone Up (3.95"")",221000,phoneUp,"Phone Up (4"")",221100,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,224850,phoneDown,"Phone Down (3.95"")",225000,phoneDown,"Phone Down (4"")",225150,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,228800,phoneUp,"Phone Up (3.95"")",229000,phoneUp,"Phone Up (4"")",229200,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,232750,phoneDown,"Phone Down (3.95"")",233000,phoneDown,"Phone Down (4"")",233250,phoneDown,"Phone Down (4.05"")",,,,,,,
238850,phoneUp,Phone Up (long),236700,phoneUp,"Phone Up (3.95"")",237000,phoneUp,"Phone Up (4"")",237300,phoneUp,"Phone Up (4.05"")",237000,phoneDown,"Tacet 28""",16,28,,
,,,240650,phoneDown,"Phone Down (3.95"")",241000,phoneDown,"Phone Down (4"")",241350,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,244600,phoneUp,"Phone Up (3.95"")",245000,phoneUp,"Phone Up (4"")",245400,phoneUp,"Phone Up (4.05"")",,,,,,,
252000,phoneUp,Phone Up (long),248550,phoneDown,"Phone Down (3.95"")",249000,phoneDown,"Phone Down (4"")",249450,phoneDown,"Phone Down (4.05"")",,,,,,,
255900,phoneDown,"Phone Down (3.9"")",252500,phoneUp,"Phone Up (3.95"")",253000,phoneUp,"Phone Up (4"")",253500,phoneUp,"Phone Up (4.05"")",,,,,,,
259800,phoneUp,"Phone Up (3.9"")",256450,phoneDown,"Phone Down (3.95"")",257000,phoneDown,"Phone Down (4"")",257550,phoneDown,"Phone Down (4.05"")",,,,,,,
263700,phoneDown,"Phone Down (3.9"")",260400,phoneUp,"Phone Up (3.95"")",261000,phoneUp,"Phone Up (4"")",261600,phoneUp,"Phone Up (4.05"")",,,,,,,
267600,phoneUp,"Phone Up (3.9"")",264350,phoneDown,"Phone Down (3.95"")",265000,phoneDown,"Phone Down (4"")",265650,phoneDown,"Phone Down (4.05"")",265000,phoneDown,"Tacet 20""",17,20,,
271500,phoneDown,"Phone Down (3.9"")",268300,phoneUp,"Phone Up (3.95"")",269000,phoneUp,"Phone Up (4"")",269700,phoneUp,"Phone Up (4.05"")",,,,,,,
275400,phoneUp,"Phone Up (3.9"")",272250,phoneDown,"Phone Down (3.95"")",273000,phoneDown,"Phone Down (4"")",273750,phoneDown,"Phone Down (4.05"")",,,,,,,
279300,phoneDown,"Phone Down (3.9"")",276200,phoneUp,"Phone Up (3.95"")",277000,phoneUp,"in 4"" get INST.",277800,phoneUp,"Phone Up (4.05"")",,,,,,,
283200,phoneUp,"Phone Up (3.9"")",280150,phoneDown,"Phone Down (3.95"")",281000,phoneDown,PICK UP INST.,281850,phoneDown,"Phone Down (4.05"")",,,,,,,
287100,phoneDown,"Phone Down (3.9"")",284100,phoneUp,"Phone Up (3.95"")",285000,bacon01,Play,285900,phoneUp,"Phone Up (4.05"")",285000,phoneDown,"Tacet 10""",18,10,,
291000,phoneUp,"Phone Up (3.9"")",288050,phoneDown,"Phone Down (3.95"")",,,,289950,phoneDown,"Phone Down (4.05"")",,,,,,,
294900,phoneDown,"Phone Down (3.9"")",292000,phoneUp,"Phone Up (3.95"")",295000,bacon01,Play,294000,phoneUp,"Phone Up (4.05"")",295000,phoneDown,"Tacet 15""",19,15,,
298800,phoneUp,"Phone Up (3.9"")",295950,phoneDown,"Phone Down (3.95"")",,,,298050,phoneDown,PICK UP INST.,,,,,,,
302700,phoneDown,PICK UP INST.,299900,phoneUp,"Phone Up (3.95"")",,,,302100,bacon01,Play,,,,,,,
306600,bacon01,Play,303850,phoneDown,"Phone Down (3.95"")",,,,,,,,,,,,,
,,,307800,bacon01,Play,,,,,,,,,,,,,
310000,bacon01,Play,310000,bacon01,Play,310000,bacon01flash,Play (with flashes),310000,bacon01,Play,310000,phoneDown,"Tacet 40""",20,40,,
350000,bacon01,Play,350000,bacon01,Play,350000,bacon01flash,Play (with flashes),350000,bacon01flash,Play (with flashes),350000,phoneDown,PICK UP INST.,21,5,,
,,,352500,bacon01flash,,,,,,,,,,,,,,
355000,bacon01flash,Play (with flashes),355000,bacon01flash,Play (with flashes),355000,bacon01flash,Play (with flashes),355000,bacon01flash,Play (with flashes),355000,phoneDown,Play,22,90,,
445000,phoneDown,"Play (with flashes) 
(eventually fade out)",445000,phoneDown,"Play (with flashes) 
(eventually fade out)",445000,phoneDown,"Play (with flashes) 
(eventually fade out)",445000,phoneDown,"Play (with flashes) 
(eventually fade out)",445000,phoneDown,Play,23,60,,
505000,bacon01flickerheavy,"IGNORE PHONE 
(play openly)",505000,bacon01flickerheavy,"IGNORE PHONE 
(play openly)",505000,bacon01flickerheavy,"IGNORE PHONE 
(play openly)",505000,bacon01flickerheavy,"IGNORE PHONE 
(play openly)",505000,bacon01flickerheavy,"IGNORE PHONE 
(play openly)",24,20,,
525000,phoneDown,"(Play, then end)",525000,phoneDown,"(Play, then end)",525000,phoneDown,"(Play, then end)",525000,phoneDown,"(Play, then end)",525000,phoneDown,"(Play, then end)",25,10000,,
